year,filter(1)
2000,0.1543579229548457
2001,0.5299078660289391
2002,-0.2946496986970817
2003,0.6006255020541554
2004,0.25961991950867586
2005,0.22986819064242303
2006,0.21446674916862446
2007,-0.023928011010895655
2008,-0.007797553301657628
2009,0.5177739911975728
2010,0.13447405244549684
2011,-0.16281185267534223
2012,0.22941022421469878
2013,0.5962482196406312
2014,0.06084213637340382
2015,-0.22397376493528012
2016,0.2706025697620905
2017,0.4788893781584927
2018,-0.3227022360312658
2019,0.524725202901745
2020,-1.197538654655982
