year,"ewma(15/13)_macd(8,17,9)"
2000,0.2850250226005235
2001,0.008731635232171481
2002,0.0740722883401541
2003,-0.5230309274919679
2004,-0.7649605161633777
2005,-0.0915088071131322
2006,-0.4893850771894973
2007,-0.17908995666126432
2008,0.9587095115845016
2009,-0.033087909765661866
2010,-0.3412831768534545
2011,-0.4938874822439542
2012,0.13867178404960515
2013,-0.4090948296267297
2014,0.0029564840207196453
2015,-0.18956095109683607
2016,-0.5480260428129279
2017,-0.35865237553713536
2018,0.5639290707976123
2019,0.5372474228653947
2020,0.4714002096407442
