year,filter(1)
2000,0.25881681902907094
2001,-0.2005036609039091
2002,-0.0021012929031000126
2003,-0.4210215960774974
2004,-0.35948492978821894
2005,-0.14462582720876194
2006,0.016831174554501067
2007,-0.08715530344707123
2008,0.7745110345797087
2009,-0.5810606389901881
2010,-0.3684615898556919
2011,-0.0012763934575884984
2012,-0.16554881516964756
2013,-0.43317908588235304
2014,-0.015542371393709346
2015,0.044167809609824436
2016,-0.27421979154141946
2017,-0.3742205966435464
2018,0.2545078295517228
2019,-0.1935300232599263
2020,0.015758210234540746
