year,primary_signals
2000,0.10296127656475738
2001,-0.22261954996965885
2002,-0.07708950853843075
2003,-0.4905638749877632
2004,-0.34725723056500735
2005,-0.18678573727585912
2006,-0.07561667804175484
2007,-0.09344059234571656
2008,0.6789581199327684
2009,-0.6115417676142199
2010,-0.42869635884760476
2011,0.1390654888146802
2012,-0.17965703614355416
2013,-0.47265160160288516
2014,-0.05832503527783738
2015,0.0747677026542993
2016,-0.2530468991778906
2017,-0.34970550902913716
2018,0.178602405717416
2019,-0.20981611437836625
2020,0.7938423362629502
